fecha,close_price,trading_volume,rsi_14,sentiment_score,news_volume
2024-05-28,113.83676147460938,652728000,86.32643046389887,0.0,0.0
2024-05-29,114.7602310180664,557442000,87.08259863313876,0.0,0.0
2024-05-30,110.43766784667969,484553000,80.57167854240981,0.0,0.0
2024-05-31,109.5711669921875,613263000,77.97127844275519,0.0,0.0
2024-06-03,114.93512725830078,438392000,80.62947663784966,0.0,0.0
2024-06-04,116.37133026123047,403324000,80.85827492426682,0.0,0.0
2024-06-05,122.3709487915039,528402000,82.0628019492284,0.0,0.0
2024-06-06,120.92974853515625,664696000,79.90522622542895,0.0,0.0
2024-06-07,120.81981658935547,412386000,83.21214677877984,0.0,0.0
2024-06-10,121.7213134765625,313434100,82.64443043374749,0.0,0.0
2024-06-11,120.85173797607422,222551200,80.66471430451725,0.0,0.0
2024-06-12,125.1396484375,299595000,83.2615190621368,0.0,0.0
2024-06-13,129.5475311279297,260704500,81.45162352325866,0.0,0.0
2024-06-14,131.8164520263672,309320400,81.26919690994939,0.0,0.0
2024-06-17,130.91688537597656,288504400,75.04505077916349,0.0,0.0
2024-06-18,135.5146484375,294335100,77.47248782473773,0.0,0.0
2024-06-20,130.71697998046875,517768400,76.5101526308993,0.0,0.0
2024-06-21,126.50900268554688,649445800,70.3630291722296,0.0,0.0
2024-06-24,118.05307006835938,476060900,53.48906420968367,0.0,0.0
2024-06-25,126.02922821044922,414192600,59.42756307175099,0.0,0.0
2024-06-26,126.33909606933594,362975900,54.35755084119381,0.0,0.0
2024-06-27,123.93024444580078,252571700,53.22637408129693,0.0,0.0
2024-06-28,123.48046112060547,315516700,52.84018053816929,0.0,0.0
2024-07-01,124.24010467529297,284885500,52.69692282108287,0.0,0.0
2024-07-02,122.61088562011719,218374000,51.85340648274667,0.0,0.0
2024-07-03,128.21817016601562,215749000,53.155741459013676,0.0,0.0
2024-07-05,125.76936340332031,214176700,45.96499997973649,0.0,0.0
2024-07-08,128.13819885253906,237677300,46.08007216061311,0.0,0.0
2024-07-09,131.3166961669922,285366600,50.40634241374784,0.0,0.0
2024-07-10,134.84500122070312,248978600,49.304289087888264,0.0,0.0
2024-07-11,127.33860778808594,374782700,46.67715623741723,0.0,0.0
2024-07-12,129.177734375,252680500,52.75315977941688,0.0,0.0
2024-07-15,128.37811279296875,208326200,62.650015869031556,0.0,0.0
2024-07-16,126.2990951538086,214769500,50.3864820662654,0.0,0.0
2024-07-17,117.9331283569336,390086200,40.21864748811202,0.0,0.0
2024-07-18,121.03164672851562,320979500,46.68041361724447,0.0,0.0
2024-07-19,117.87317657470703,217223800,43.9534592006041,0.0,0.0
2024-07-22,123.48046112060547,258068900,49.2583828786927,0.0,0.0
2024-07-23,122.53092193603516,173911000,49.92088390027958,0.0,0.0
2024-07-24,114.19493865966797,327776900,36.836197883969845,0.0,0.0
2024-07-25,112.22588348388672,460067000,37.170996660703146,0.0,0.0
2024-07-26,113.0055160522461,293399100,35.22066498447826,0.0,0.0
2024-07-29,111.53621673583984,248152100,30.014151450508948,0.0,0.0
2024-07-30,103.68000793457031,486833300,21.04384984886765,0.0,0.0
2024-07-31,116.96359252929688,473174200,41.294858667158245,0.0,0.0
2024-08-01,109.15736389160156,523462300,34.730890898441004,0.0,0.0
2024-08-02,107.2182846069336,482027500,34.1375528784106,0.0,0.0
2024-08-05,100.40159606933594,552842400,31.873518862678438,0.0,0.0
2024-08-06,104.19976806640625,409012100,39.73095293143655,0.0,0.0
2024-08-07,98.86233520507812,411440400,33.96007571888059,0.0,0.0
2024-08-08,104.9194107055664,391910000,41.00498692022753,0.0,0.0
2024-08-09,104.69952392578125,290844200,35.90397877697369,0.0,0.0
2024-08-12,108.96746826171875,325559900,40.302990592571085,0.0,0.0
2024-08-13,116.08403015136719,312646700,51.37454748696712,0.0,0.0
2024-08-14,118.02310180664062,339246400,54.220034033439774,0.0,0.0
2024-08-15,122.8008041381836,318086700,56.73818299813214,0.0,0.0
2024-08-16,124.51995849609375,302589900,58.90092469257342,0.0,0.0
2024-08-19,129.93734741210938,318333600,68.62329068789207,0.0,0.0
2024-08-20,127.18869018554688,300087400,58.52645059577249,0.0,0.0
2024-08-21,128.4380645751953,257883600,68.05167407428343,0.0,0.0
2024-08-22,123.68036651611328,376189100,64.6400386527701,0.0,0.0
2024-08-23,129.30764770507812,323230300,76.2622796630434,0.0,0.0
2024-08-26,126.3990478515625,331964700,70.50028602860347,0.0,0.0
2024-08-27,128.23817443847656,303134600,79.00141752897721,0.0,0.0
2024-08-28,125.54946899414062,448101100,71.81821128469812,0.0,0.0
2024-08-29,117.5333251953125,453023300,61.65154041151973,0.0,0.0
2024-08-30,119.3124771118164,333751600,59.83653519089432,0.0,0.0
2024-09-03,107.94795227050781,477155100,42.84206540353335,0.0,0.0
2024-09-04,106.15880584716797,372470300,39.53445643951087,0.0,0.0
2024-09-05,107.15833282470703,306850700,35.216307457221006,0.0,0.0
2024-09-06,102.78044128417969,413638100,30.437132395854718,0.0,0.0
2024-09-09,106.41868591308594,273912000,28.13603521517011,0.0,0.0
2024-09-10,108.04788970947266,268283700,31.827647587309997,0.0,0.0
2024-09-11,116.85365295410156,441422400,40.38175218310787,0.0,0.0
2024-09-12,119.0927734375,366052700,46.02478350231367,0.0,0.0
2024-09-13,119.05278015136719,238358300,40.16133602480042,0.0,0.0
2024-09-16,116.73370361328125,248772300,40.62083644780556,0.0,0.0
2024-09-17,115.54417419433594,231925900,37.5245747691346,0.0,0.0
2024-09-18,113.32505798339844,310318900,37.874155868389856,0.0,0.0
2024-09-19,117.82328033447266,293506400,50.30919634130237,0.0,0.0
2024-09-20,115.95401000976562,382462400,46.425537408884104,0.0,0.0
2024-09-23,116.21391296386719,206228500,61.5208211958859,0.0,0.0
2024-09-24,120.82208251953125,354966800,68.94821387239807,0.0,0.0
2024-09-25,123.46104431152344,284692900,70.2104074375642,0.0,0.0
2024-09-26,123.9908218383789,302582900,79.06777742284577,0.0,0.0
2024-09-27,121.35187530517578,271009200,71.04151985427056,0.0,0.0
2024-09-30,121.3918685913086,226553700,69.68379819197858,0.0,0.0
2024-10-01,116.95361328125,302094500,50.16926167893837,0.0,0.0
2024-10-02,118.80288696289062,221845900,49.50257116839014,0.0,0.0
2024-10-03,122.80130767822266,277118000,55.66295586084486,0.0,0.0
2024-10-04,124.8704833984375,243678100,62.38587383563268,0.0,0.0
2024-10-07,127.66937255859375,346250200,67.59499991275152,0.0,0.0
2024-10-08,132.83731079101562,285722500,76.08227502642146,0.0,0.0
2024-10-09,132.597412109375,246191600,72.28586018255535,0.0,0.0
2024-10-10,134.75656127929688,242311300,78.11659318477739,0.0,0.0
2024-10-11,134.74656677246094,170209500,77.92168766969215,0.0,0.0
2024-10-14,138.01527404785156,232347700,76.9931006057823,0.0,0.0
2024-10-15,131.54783630371094,377831000,61.33370370292123,0.0,0.0
2024-10-16,135.66619873046875,264879700,64.867620864124,0.0,0.0
2024-10-17,136.87571716308594,306435900,70.51517900498781,0.0,0.0
2024-10-18,137.94529724121094,176090200,71.29628009345997,0.0,0.0
2024-10-21,143.6530303955078,264554500,83.26277538919875,0.0,0.0
2024-10-22,143.53309631347656,226311600,82.19681962029537,0.0,0.0
2024-10-23,139.50466918945312,285930000,71.72950691937676,0.0,0.0
2024-10-24,140.35433959960938,172354900,70.80311181958618,0.0,0.0
2024-10-25,141.48388671875,205122100,69.43193835008171,0.0,0.0
2024-10-28,140.4643096923828,173586700,62.145855306650844,0.0,0.0
2024-10-29,141.19400024414062,157593600,63.47963024687773,0.0,0.0
2024-10-30,139.28475952148438,179418100,57.15639602176088,0.0,0.0
2024-10-31,132.70738220214844,270039600,47.33124581397537,0.0,0.0
2024-11-01,135.34632873535156,207127800,46.44851325244457,0.0,0.0
2024-11-04,135.99607849121094,187528200,57.003483458353905,0.0,0.0
2024-11-05,139.8545379638672,160537400,56.64869533969761,0.0,0.0
2024-11-06,145.5522918701172,242043900,62.055591196529,0.0,0.0
2024-11-07,148.82098388671875,207323300,64.24085874089603,0.0,0.0
2024-11-08,147.5714569091797,175665800,55.809105141457756,0.0,0.0
2024-11-11,145.20240783691406,182325600,52.320053726844485,0.0,0.0
2024-11-12,148.23118591308594,198634700,62.47498569825942,0.0,0.0
2024-11-13,146.21202087402344,191903300,58.10290710272786,0.0,0.0
2024-11-14,146.7018280029297,194463300,57.348009719066354,0.0,0.0
2024-11-15,141.92369079589844,250132900,51.858403622070206,0.0,0.0
2024-11-18,140.0944366455078,221205300,48.63793811545667,0.0,0.0
2024-11-19,146.95172119140625,227834900,58.460192481447635,0.0,0.0
2024-11-20,145.83216857910156,309871700,66.46601949820749,0.0,0.0
2024-11-21,146.6118621826172,400946600,64.82505858977137,0.0,0.0
2024-11-22,141.89373779296875,236406200,57.01046083236725,0.0,0.0
2024-11-25,135.96607971191406,344941900,45.594561481608814,0.0,0.0
2024-11-26,136.86572265625,190287700,38.958040840081296,0.0,0.0
2024-11-27,135.28634643554688,226370900,32.02335042378334,0.0,0.0
2024-11-29,138.19520568847656,141863200,38.07225724345519,0.0,0.0
2024-12-02,138.57504272460938,171682800,41.11974423183295,0.0,0.0
